id,sales_hat
Brno_1_1226_2024-06-03,242.32037148061016
Brno_1_1226_2024-06-11,232.83676880954167
Brno_1_1226_2024-06-13,255.1401140046943
Brno_1_1226_2024-06-15,233.51824682163547
Brno_1_1226_2024-06-09,227.51682414199385
Brno_1_1226_2024-06-06,255.1401140046943
Brno_1_1226_2024-06-12,237.50545434281895
Brno_1_1226_2024-06-05,237.50545434281895
Brno_1_1226_2024-06-04,232.83676880954167
Brno_1_1226_2024-06-08,233.51824682163547
Brno_1_1226_2024-06-07,279.0111555902468
Brno_1_1226_2024-06-14,279.0111555902468
Brno_1_1226_2024-06-16,227.51682414199385
Brno_1_1226_2024-06-10,242.32037148061016
Prague_2_5409_2024-06-08,35.092089552238804
Prague_2_5409_2024-06-15,35.092089552238804
Prague_2_5409_2024-06-12,35.169045226130656
Prague_2_5409_2024-06-03,32.34658163265306
Prague_2_5409_2024-06-09,36.035
Prague_2_5409_2024-06-13,38.63685279187817
Prague_2_5409_2024-06-10,32.34658163265306
Prague_2_5409_2024-06-06,38.63685279187817
Prague_2_5409_2024-06-11,32.95711340206186
Prague_2_5409_2024-06-07,38.884949999999996
Prague_2_5409_2024-06-14,38.884949999999996
Prague_2_5409_2024-06-05,35.169045226130656
Prague_2_5409_2024-06-04,32.95711340206186
Prague_3_1268_2024-06-14,279.75167512690354
Prague_3_1268_2024-06-13,269.52892857142854
Prague_3_1268_2024-06-15,221.9907070707071
Prague_3_1268_2024-06-11,253.44302564102563
Prague_3_1268_2024-06-06,269.52892857142854
Prague_3_1268_2024-06-12,254.8111282051282
Prague_3_1268_2024-06-16,247.52969696969694
Prague_3_1268_2024-06-09,247.52969696969694
Prague_3_1268_2024-06-05,254.8111282051282
Prague_3_1268_2024-06-08,221.9907070707071
Prague_3_1268_2024-06-07,279.75167512690354
Prague_3_1268_2024-06-04,253.44302564102563
Prague_3_1268_2024-06-03,253.56647959183672
Prague_3_1268_2024-06-10,253.56647959183672
Prague_3_1531_2024-06-16,15.632550000000002
Prague_3_1531_2024-06-05,17.54515
Prague_3_1531_2024-06-12,17.54515
Prague_3_1531_2024-06-06,17.4212
Prague_3_1531_2024-06-04,17.97265
Prague_3_1531_2024-06-09,15.632550000000002
Prague_3_1531_2024-06-11,17.97265
Prague_3_1531_2024-06-07,17.381256281407033
Prague_3_1531_2024-06-10,17.982412060301506
Prague_3_1531_2024-06-03,17.982412060301506
Prague_3_1531_2024-06-13,17.4212
Prague_3_1531_2024-06-15,15.87395
Prague_3_1531_2024-06-08,15.87395
Prague_3_1531_2024-06-14,17.381256281407033
Prague_2_655_2024-06-11,1485.8921
Prague_2_655_2024-06-05,1492.3570000000002
Prague_2_655_2024-06-13,1622.511
Prague_2_655_2024-06-12,1492.3570000000002
Prague_2_655_2024-06-04,1485.8921
Prague_2_655_2024-06-16,1442.8199
Prague_2_655_2024-06-15,1357.533768844221
Prague_2_655_2024-06-06,1622.511
Prague_2_655_2024-06-09,1442.8199
Prague_2_655_2024-06-07,1725.79035
Prague_2_655_2024-06-10,1549.1875376884423
Prague_2_655_2024-06-08,1357.533768844221
Prague_2_655_2024-06-14,1725.79035
Prague_2_655_2024-06-03,1549.1875376884423
Prague_2_5142_2024-06-04,69.21118537319045
Prague_2_5142_2024-06-08,69.89402217392674
Prague_2_5142_2024-06-10,71.14686124916902
Prague_2_5142_2024-06-09,71.11954229432213
Prague_2_5142_2024-06-03,71.14686124916902
Prague_2_5142_2024-06-13,76.56082720074522
Prague_2_5142_2024-06-05,70.40675682397563
Prague_2_5142_2024-06-06,76.56082720074522
Prague_2_5142_2024-06-14,82.91040625678906
Prague_2_5142_2024-06-12,70.40675682397563
Prague_2_5142_2024-06-11,69.21118537319045
Prague_2_5142_2024-06-16,71.11954229432213
Prague_2_5142_2024-06-07,82.91040625678906
Prague_2_5142_2024-06-15,69.89402217392674
Prague_2_4072_2024-06-04,69.21118537319045
Prague_2_4072_2024-06-08,69.89402217392674
Prague_2_4072_2024-06-03,71.14686124916902
Prague_2_4072_2024-06-10,71.14686124916902
Prague_2_4072_2024-06-14,82.91040625678906
Prague_2_4072_2024-06-12,70.40675682397563
Prague_2_4072_2024-06-13,76.56082720074522
Prague_2_4072_2024-06-05,70.40675682397563
Prague_2_4072_2024-06-15,69.89402217392674
Prague_2_4072_2024-06-16,71.11954229432213
Prague_2_4072_2024-06-09,71.11954229432213
Prague_2_4072_2024-06-11,69.21118537319045
Prague_2_4072_2024-06-07,82.91040625678906
Prague_2_4072_2024-06-06,76.56082720074522
Munich_1_2163_2024-06-08,42.9
Munich_1_2163_2024-06-16,17.829333333333334
Munich_1_2163_2024-06-06,55.17473684210527
Munich_1_2163_2024-06-04,43.44445652173913
Munich_1_2163_2024-06-14,60.41873684210526
Munich_1_2163_2024-06-15,42.9
Munich_1_2163_2024-06-12,48.89148936170213
Munich_1_2163_2024-06-05,48.89148936170213
Munich_1_2163_2024-06-10,40.20032967032967
Munich_1_2163_2024-06-09,17.829333333333334
Munich_1_2163_2024-06-11,43.44445652173913
Munich_1_2163_2024-06-03,40.20032967032967
